PART	ANALITO	RESP	S1_NOME_SA	S2_NOME_SA
3246	Corpos Cet獼icos.	40 mg/dL	BioT嶰nica	Leitura visual
3246	Glicose.	500 mg/dL	BioT嶰nica	Leitura visual
3246	Hemoglobina Hemolisada.	250 Ery/無	BioT嶰nica	Leitura visual
3246	Leucocitos.	0 leu/無	BioT嶰nica	Leitura visual
3246	Nitrito.	0,1 mg/dL	BioT嶰nica	Leitura visual
3246	Prote璯as.	100 mg/dL	BioT嶰nica	Leitura visual
3246	Urobilinog瘽io.	4 mg/dL	BioT嶰nica	Leitura visual
3247	Bilirrubina.	6,0 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
3247	Corpos Cet獼icos.	150 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
3247	Glicose.	1000 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
3247	Hemoglobina Hemolisada.	250 Ery/無	Combur 10M	Urisys 1800/ Cobas u411
3247	Leucocitos.	100 leu/無	Combur 10M	Urisys 1800/ Cobas u411
3247	Nitrito.	0,2 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
3247	Prote璯as.	500 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
3247	Urobilinog瘽io.	12 mg/dL	Combur 10M	Urisys 1800/ Cobas u411
3271	Bilirrubina.	0 mg/dL	Uriquest Plus I	Leitura visual
3271	Corpos Cet獼icos.	15 mg/dL	Uriquest Plus I	Leitura visual
3271	Glicose.	250 mg/dL	Uriquest Plus I	Leitura visual
3271	Hemoglobina Hemolisada.	300 Ery/無	Uriquest Plus I	Leitura visual
3271	Leucocitos.	0 leu/無	Uriquest Plus I	Leitura visual
3271	Nitrito.	0,2 mg/dL	Uriquest Plus I	Leitura visual
3271	Prote璯as.	100 mg/dL	Uriquest Plus I	Leitura visual
3271	Urobilinog瘽io.	12 mg/dL	Uriquest Plus I	Leitura visual
3319	Bilirrubina.	0 mg/dL	Uricolor Check	Urivision
3319	Corpos Cet獼icos.	0 mg/dL	Uricolor Check	Urivision
3319	Glicose.	100 mg/dL	Uricolor Check	Urivision
3319	Hemoglobina Hemolisada.	25 Ery/無	Uricolor Check	Urivision
3319	Leucocitos.	0 leu/無	Uricolor Check	Urivision
3319	Nitrito.	0,2 mg/dL	Uricolor Check	Urivision
3319	Prote璯as.	100 mg/dL	Uricolor Check	Urivision
3319	Urobilinog瘽io.	0,2 mg/dL	Uricolor Check	Urivision
3334	Bilirrubina.	2,0 mg/dL	Meditape UC-11A	Sysmex UC 3500
3334	Corpos Cet獼icos.	30 mg/dL	Meditape UC-11A	Sysmex UC 3500
3334	Glicose.	500 mg/dL	Meditape UC-11A	Sysmex UC 3500
3334	Hemoglobina Hemolisada.	250 Ery/無	Meditape UC-11A	Sysmex UC 3500
3334	Leucocitos.	0 leu/無	Meditape UC-11A	Sysmex UC 3500
3334	Nitrito.	0,2 mg/dL	Meditape UC-11A	Sysmex UC 3500
3334	Prote璯as.	300 mg/dL	Meditape UC-11A	Sysmex UC 3500
3334	Urobilinog瘽io.	4 mg/dL	Meditape UC-11A	Sysmex UC 3500
3340	Bilirrubina.	3 mg/dL	Uricolor Check	Urivision
3340	Corpos Cet獼icos.	40 mg/dL	Uricolor Check	Urivision
3340	Glicose.	500 mg/dL	Uricolor Check	Urivision
3340	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Urivision
3340	Leucocitos.	25 leu/無	Uricolor Check	Urivision
3340	Nitrito.	0,2 mg/dL	Uricolor Check	Urivision
3340	Prote璯as.	100 mg/dL	Uricolor Check	Urivision
3340	Urobilinog瘽io.	2 mg/dL	Uricolor Check	Urivision
3367	Bilirrubina.	4,0 mg/dL	Urofita 10DLU	Uryxxon 500
3367	Corpos Cet獼icos.	100 mg/dL	Urofita 10DLU	Uryxxon 500
3367	Glicose.	50 mg/dL	Urofita 10DLU	Uryxxon 500
3367	Hemoglobina Hemolisada.	250 Ery/無	Urofita 10DLU	Uryxxon 500
3367	Leucocitos.	75 leu/無	Urofita 10DLU	Uryxxon 500
3367	Nitrito.	0,2 mg/dL	Urofita 10DLU	Uryxxon 500
3367	Prote璯as.	500 mg/dL	Urofita 10DLU	Uryxxon 500
3367	Urobilinog瘽io.	4 mg/dL	Urofita 10DLU	Uryxxon 500
3382	Bilirrubina.	3 mg/dL	Uricolor Check	Leitura visual
3382	Corpos Cet獼icos.	40 mg/dL	Uricolor Check	Leitura visual
3382	Glicose.	500 mg/dL	Uricolor Check	Leitura visual
3382	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Leitura visual
3382	Leucocitos.	125 leu/無	Uricolor Check	Leitura visual
3382	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
3382	Prote璯as.	100 mg/dL	Uricolor Check	Leitura visual
3382	Urobilinog瘽io.	4 mg/dL	Uricolor Check	Leitura visual
3385	Bilirrubina.	3 mg/dL	Combur 10M	Leitura visual
3385	Corpos Cet獼icos.	80 mg/dL	Combur 10M	Leitura visual
3385	Glicose.	1000 mg/dL	Combur 10M	Leitura visual
3385	Hemoglobina Hemolisada.	250 Ery/無	Combur 10M	Leitura visual
3385	Leucocitos.	500 leu/無	Combur 10M	Leitura visual
3385	Nitrito.	0,2 mg/dL	Combur 10M	Leitura visual
3385	Prote璯as.	500 mg/dL	Combur 10M	Leitura visual
3385	Urobilinog瘽io.	12 mg/dL	Combur 10M	Leitura visual
3391	Bilirrubina.	4,0 mg/dL	Urofita 10DLU	Uryxxon 500
3391	Corpos Cet獼icos.	100 mg/dL	Urofita 10DLU	Uryxxon 500
3391	Glicose.	500 mg/dL	Urofita 10DLU	Uryxxon 500
3391	Hemoglobina Hemolisada.	250 Ery/無	Urofita 10DLU	Uryxxon 500
3391	Leucocitos.	75 leu/無	Urofita 10DLU	Uryxxon 500
3391	Nitrito.	0,2 mg/dL	Urofita 10DLU	Uryxxon 500
3391	Prote璯as.	500 mg/dL	Urofita 10DLU	Uryxxon 500
3391	Urobilinog瘽io.	8 mg/dL	Urofita 10DLU	Uryxxon 500
3396	Bilirrubina.	3 mg/dL	Biocon 10	Biocon Reader 300
3396	Glicose.	250 mg/dL	Biocon 10	Biocon Reader 300
3396	Hemoglobina Hemolisada.	250 Ery/無	Biocon 10	Biocon Reader 300
3396	Leucocitos.	0 leu/無	Biocon 10	Biocon Reader 300
3396	Nitrito.	0,2 mg/dL	Biocon 10	Biocon Reader 300
3396	Urobilinog瘽io.	8 mg/dL	Biocon 10	Biocon Reader 300
3410	Bilirrubina.	3 mg/dL	Biocon 10	Biocon Reader 300
3410	Corpos Cet獼icos.	40 mg/dL	Biocon 10	Biocon Reader 300
3410	Glicose.	0 mg/dL	Biocon 10	Biocon Reader 300
3410	Hemoglobina Hemolisada.	250 Ery/無	Biocon 10	Biocon Reader 300
3410	Leucocitos.	25 leu/無	Biocon 10	Biocon Reader 300
3410	Nitrito.	0,2 mg/dL	Biocon 10	Biocon Reader 300
3410	Prote璯as.	300 mg/dL	Biocon 10	Biocon Reader 300
3410	Urobilinog瘽io.	4 mg/dL	Biocon 10	Biocon Reader 300
3453	Bilirrubina.	4,0 mg/dL	Uriaction 10	Leitura visual
3453	Corpos Cet獼icos.	40 mg/dL	Uriaction 10	Leitura visual
3453	Glicose.	500 mg/dL	Uriaction 10	Leitura visual
3453	Hemoglobina Hemolisada.	200 Ery/無	Uriaction 10	Leitura visual
3453	Leucocitos.	0 leu/無	Uriaction 10	Leitura visual
3453	Nitrito.	0,1 mg/dL	Uriaction 10	Leitura visual
3453	Prote璯as.	2000 mg/dL	Uriaction 10	Leitura visual
3453	Urobilinog瘽io.	12 mg/dL	Uriaction 10	Leitura visual
3465	Bilirrubina.	2 mg/dL	Multistix 10SG	Clinitek Advantus
3465	Corpos Cet獼icos.	80 mg/dL	Multistix 10SG	Clinitek Advantus
3465	Glicose.	1000 mg/dL	Multistix 10SG	Clinitek Advantus
3465	Hemoglobina Hemolisada.	125 Ery/無	Multistix 10SG	Clinitek Advantus
3465	Leucocitos.	15 leu/無	Multistix 10SG	Clinitek Advantus
3465	Nitrito.	0,2 mg/dL	Multistix 10SG	Clinitek Advantus
3465	Prote璯as.	300 mg/dL	Multistix 10SG	Clinitek Advantus
3465	Urobilinog瘽io.	8 mg/dL	Multistix 10SG	Clinitek Advantus
3482	Bilirrubina.	3 mg/dL	Biocon 11	Biocon Reader 300
3482	Corpos Cet獼icos.	100 mg/dL	Biocon 11	Biocon Reader 300
3482	Glicose.	250 mg/dL	Biocon 11	Biocon Reader 300
3482	Hemoglobina Hemolisada.	250 Ery/無	Biocon 11	Biocon Reader 300
3482	Leucocitos.	500 leu/無	Biocon 11	Biocon Reader 300
3482	Nitrito.	0,2 mg/dL	Biocon 11	Biocon Reader 300
3482	Prote璯as.	300 mg/dL	Biocon 11	Biocon Reader 300
3482	Urobilinog瘽io.	8 mg/dL	Biocon 11	Biocon Reader 300
3491	Bilirrubina.	4,0 mg/dL	Lumiratek	Mission U120
3491	Corpos Cet獼icos.	80 mg/dL	Lumiratek	Mission U120
3491	Glicose.	500 mg/dL	Lumiratek	Mission U120
3491	Hemoglobina Hemolisada.	200 Ery/無	Lumiratek	Mission U120
3491	Leucocitos.	125 leu/無	Lumiratek	Mission U120
3491	Nitrito.	0,2 mg/dL	Lumiratek	Mission U120
3491	Prote璯as.	300 mg/dL	Lumiratek	Mission U120
3491	Urobilinog瘽io.	8,0 mg/dL	Lumiratek	Mission U120
3495	Bilirrubina.	3 mg/dL	Uricolor Check	Urivision
3495	Corpos Cet獼icos.	40 mg/dL	Uricolor Check	Urivision
3495	Glicose.	500 mg/dL	Uricolor Check	Urivision
3495	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Urivision
3495	Leucocitos.	0 leu/無	Uricolor Check	Urivision
3495	Nitrito.	0,2 mg/dL	Uricolor Check	Urivision
3495	Prote璯as.	100 mg/dL	Uricolor Check	Urivision
3495	Urobilinog瘽io.	4 mg/dL	Uricolor Check	Urivision
3504	Bilirrubina.	4,0 mg/dL	BioT嶰nica	Bioeasy U120
3504	Glicose.	250 mg/dL	BioT嶰nica	Bioeasy U120
3504	Hemoglobina Hemolisada.	200 Ery/無	BioT嶰nica	Bioeasy U120
3504	Leucocitos.	70 leu/無	BioT嶰nica	Bioeasy U120
3515	Bilirrubina.	3,0 mg/dL	Uricolor Check	Uri View 200
3515	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Uri View 200
3515	Leucocitos.	0 leu/無	Uricolor Check	Uri View 200
3515	Nitrito.	0,2 mg/dL	Uricolor Check	Uri View 200
3521	Bilirrubina.	4,0 mg/dL	Lumiratek	Bioeasy U500
3521	Corpos Cet獼icos.	80 mg/dL	Lumiratek	Bioeasy U500
3521	Glicose.	250 mg/dL	Lumiratek	Bioeasy U500
3521	Hemoglobina Hemolisada.	200 Ery/無	Lumiratek	Bioeasy U500
3521	Leucocitos.	125 leu/無	Lumiratek	Bioeasy U500
3521	Nitrito.	0,2 mg/dL	Lumiratek	Bioeasy U500
3521	Prote璯as.	300 mg/dL	Lumiratek	Bioeasy U500
3521	Urobilinog瘽io.	4 mg/dL	Lumiratek	Bioeasy U500
3530	Corpos Cet獼icos.	80 mg/dL	Biopix	Leitura visual
3530	Glicose.	1000 mg/dL	Biopix	Leitura visual
3530	Hemoglobina Hemolisada.	250 Ery/無	Biopix	Leitura visual
3530	Leucocitos.	0 leu/無	Biopix	Leitura visual
3530	Nitrito.	0,2 mg/dL	Biopix	Leitura visual
3530	Prote璯as.	300 mg/dL	Biopix	Leitura visual
3530	Urobilinog瘽io.	4 mg/dL	Biopix	Leitura visual
3533	Bilirrubina.	3 mg/dL	Urofita 10DL	Leitura visual
3533	Corpos Cet獼icos.	80 mg/dL	Urofita 10DL	Leitura visual
3533	Glicose.	1000 mg/dL	Urofita 10DL	Leitura visual
3533	Hemoglobina Hemolisada.	250 Ery/無	Urofita 10DL	Leitura visual
3533	Leucocitos.	0 leu/無	Urofita 10DL	Leitura visual
3533	Nitrito.	0,2 mg/dL	Urofita 10DL	Leitura visual
3533	Prote璯as.	100 mg/dL	Urofita 10DL	Leitura visual
3533	Urobilinog瘽io.	8 mg/dL	Urofita 10DL	Leitura visual
3560	Bilirrubina.	3 mg/dL	Uricolor Check	Leitura visual
3560	Corpos Cet獼icos.	40 mg/dL	Uricolor Check	Leitura visual
3560	Glicose.	1000 mg/dL	Uricolor Check	Leitura visual
3560	Hemoglobina Hemolisada.	125 Ery/無	Uricolor Check	Leitura visual
3560	Leucocitos.	0 leu/無	Uricolor Check	Leitura visual
3560	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
3560	Prote璯as.	100 mg/dL	Uricolor Check	Leitura visual
3560	Urobilinog瘽io.	8 mg/dL	Uricolor Check	Leitura visual
3579	Bilirrubina.	3 mg/dL	GT-Strips	Leitura visual
3579	Corpos Cet獼icos.	40 mg/dL	GT-Strips	Leitura visual
3579	Glicose.	250 mg/dL	GT-Strips	Leitura visual
3579	Hemoglobina Hemolisada.	250 Ery/無	GT-Strips	Leitura visual
3579	Leucocitos.	15 leu/無	GT-Strips	Leitura visual
3579	Nitrito.	0,2 mg/dL	GT-Strips	Leitura visual
3579	Prote璯as.	100 mg/dL	GT-Strips	Leitura visual
3579	Urobilinog瘽io.	4 mg/dL	GT-Strips	Leitura visual
3600	Bilirrubina.	3 mg/dL	Urofita 10DL	Leitura visual
3600	Corpos Cet獼icos.	40 mg/dL	Urofita 10DL	Leitura visual
3600	Glicose.	1000 mg/dL	Urofita 10DL	Leitura visual
3600	Hemoglobina Hemolisada.	250 Ery/無	Urofita 10DL	Leitura visual
3600	Leucocitos.	75 leu/無	Urofita 10DL	Leitura visual
3600	Nitrito.	0,2 mg/dL	Urofita 10DL	Leitura visual
3600	Prote璯as.	500 mg/dL	Urofita 10DL	Leitura visual
3600	Urobilinog瘽io.	8 mg/dL	Urofita 10DL	Leitura visual
3604	Bilirrubina.	1 mg/dL	Uriquest Plus I	Leitura visual
3604	Corpos Cet獼icos.	40 mg/dL	Uriquest Plus I	Leitura visual
3604	Glicose.	500 mg/dL	Uriquest Plus I	Leitura visual
3604	Hemoglobina Hemolisada.	300 Ery/無	Uriquest Plus I	Leitura visual
3604	Leucocitos.	75 leu/無	Uriquest Plus I	Leitura visual
3604	Nitrito.	0,2 mg/dL	Uriquest Plus I	Leitura visual
3604	Prote璯as.	100 mg/dL	Uriquest Plus I	Leitura visual
3604	Urobilinog瘽io.	12 mg/dL	Uriquest Plus I	Leitura visual
3614	Bilirrubina.	3 mg/dL	Uricolor Check	Urivision
3614	Corpos Cet獼icos.	15 mg/dL	Uricolor Check	Urivision
3614	Glicose.	500 mg/dL	Uricolor Check	Urivision
3614	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Urivision
3614	Leucocitos.	15 leu/無	Uricolor Check	Urivision
3614	Nitrito.	0,2 mg/dL	Uricolor Check	Urivision
3614	Prote璯as.	100 mg/dL	Uricolor Check	Urivision
3614	Urobilinog瘽io.	2 mg/dL	Uricolor Check	Urivision
3621	Bilirrubina.	3 mg/dL	Sensi 10.	Leitura visual
3621	Corpos Cet獼icos.	40 mg/dL	Sensi 10.	Leitura visual
3621	Hemoglobina Hemolisada.	250 Ery/無	Sensi 10.	Leitura visual
3621	Leucocitos.	0 leu/無	Sensi 10.	Leitura visual
3621	Nitrito.	0,2 mg/dL	Sensi 10.	Leitura visual
3623	Bilirrubina.	3 mg/dL	Uriclin 10	Leitura visual
3623	Corpos Cet獼icos.	80 mg/dL	Uriclin 10	Leitura visual
3623	Glicose.	0 mg/dL	Uriclin 10	Leitura visual
3623	Hemoglobina Hemolisada.	80 Ery/無	Uriclin 10	Leitura visual
3623	Leucocitos.	15 leu/無	Uriclin 10	Leitura visual
3623	Nitrito.	0,2 mg/dL	Uriclin 10	Leitura visual
3623	Prote璯as.	300 mg/dL	Uriclin 10	Leitura visual
3623	Urobilinog瘽io.	4 mg/dL	Uriclin 10	Leitura visual
3629	Bilirrubina.	3,0 mg/dL	Uriscan 11	Uriscan PRO / S300
3629	Corpos Cet獼icos.	50 mg/dL	Uriscan 11	Uriscan PRO / S300
3629	Glicose.	250 mg/dL	Uriscan 11	Uriscan PRO / S300
3629	Hemoglobina Hemolisada.	50 Ery/無	Uriscan 11	Uriscan PRO / S300
3629	Leucocitos.	0 leu/無	Uriscan 11	Uriscan PRO / S300
3629	Nitrito.	0,2 mg/dL	Uriscan 11	Uriscan PRO / S300
3629	Prote璯as.	300 mg/dL	Uriscan 11	Uriscan PRO / S300
3629	Urobilinog瘽io.	8 mg/dL	Uriscan 11	Uriscan PRO / S300
3644	Bilirrubina.	2,0 mg/dL	Meditape UC-11A	Sysmex UC 3500
3644	Corpos Cet獼icos.	30 mg/dL	Meditape UC-11A	Sysmex UC 3500
3644	Glicose.	500 mg/dL	Meditape UC-11A	Sysmex UC 3500
3644	Hemoglobina Hemolisada.	250 Ery/無	Meditape UC-11A	Sysmex UC 3500
3644	Leucocitos.	25 leu/無	Meditape UC-11A	Sysmex UC 3500
3644	Nitrito.	0,2 mg/dL	Meditape UC-11A	Sysmex UC 3500
3644	Prote璯as.	300 mg/dL	Meditape UC-11A	Sysmex UC 3500
3644	Urobilinog瘽io.	4 mg/dL	Meditape UC-11A	Sysmex UC 3500
3676	Bilirrubina.	3 mg/dL	Uricolor Check	Leitura visual
3676	Corpos Cet獼icos.	80 mg/dL	Uricolor Check	Leitura visual
3676	Glicose.	500 mg/dL	Uricolor Check	Leitura visual
3676	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Leitura visual
3676	Leucocitos.	0 leu/無	Uricolor Check	Leitura visual
3676	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
3676	Prote璯as.	100 mg/dL	Uricolor Check	Leitura visual
3676	Urobilinog瘽io.	4 mg/dL	Uricolor Check	Leitura visual
3680	Bilirrubina.	2 mg/dL	Uricolor Check	Leitura visual
3680	Corpos Cet獼icos.	40 mg/dL	Uricolor Check	Leitura visual
3680	Glicose.	250 mg/dL	Uricolor Check	Leitura visual
3680	Hemoglobina Hemolisada.	125 Ery/無	Uricolor Check	Leitura visual
3680	Leucocitos.	15 leu/無	Uricolor Check	Leitura visual
3680	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
3680	Prote璯as.	100 mg/dL	Uricolor Check	Leitura visual
3680	Urobilinog瘽io.	4 mg/dL	Uricolor Check	Leitura visual
3691	Bilirrubina.	3 mg/dL	Wiener Urine Strip	Leitura visual
3691	Corpos Cet獼icos.	40 mg/dL	Wiener Urine Strip	Leitura visual
3691	Glicose.	500 mg/dL	Wiener Urine Strip	Leitura visual
3691	Hemoglobina Hemolisada.	25 Ery/無	Wiener Urine Strip	Leitura visual
3691	Leucocitos.	15 leu/無	Wiener Urine Strip	Leitura visual
3691	Nitrito.	0,2 mg/dL	Wiener Urine Strip	Leitura visual
3691	Prote璯as.	300 mg/dL	Wiener Urine Strip	Leitura visual
3691	Urobilinog瘽io.	4 mg/dL	Wiener Urine Strip	Leitura visual
3703	Bilirrubina.	2 mg/dL	Uriquest Plus I	Leitura visual
3703	Corpos Cet獼icos.	40 mg/dL	Uriquest Plus I	Leitura visual
3703	Hemoglobina Hemolisada.	300 Ery/無	Uriquest Plus I	Leitura visual
3703	Nitrito.	0,2 mg/dL	Uriquest Plus I	Leitura visual
3703	Prote璯as.	100 mg/dL	Uriquest Plus I	Leitura visual
3707	Bilirrubina.	2 mg/dL	Urigold	Leitura visual
3707	Corpos Cet獼icos.	80 mg/dL	Urigold	Leitura visual
3707	Glicose.	1000 mg/dL	Urigold	Leitura visual
3707	Hemoglobina Hemolisada.	250 Ery/無	Urigold	Leitura visual
3707	Leucocitos.	25 leu/無	Urigold	Leitura visual
3707	Nitrito.	0,2 mg/dL	Urigold	Leitura visual
3707	Prote璯as.	100 mg/dL	Urigold	Leitura visual
3707	Urobilinog瘽io.	4 mg/dL	Urigold	Leitura visual
3709	Bilirrubina.	3 mg/dL	Urofita 10DL	Urivision
3709	Corpos Cet獼icos.	80 mg/dL	Urofita 10DL	Urivision
3709	Glicose.	1000 mg/dL	Urofita 10DL	Urivision
3709	Hemoglobina Hemolisada.	250 Ery/無	Urofita 10DL	Urivision
3709	Leucocitos.	25 leu/無	Urofita 10DL	Urivision
3709	Nitrito.	0,2 mg/dL	Urofita 10DL	Urivision
3709	Prote璯as.	100 mg/dL	Urofita 10DL	Urivision
3709	Urobilinog瘽io.	4,0 mg/dL	Urofita 10DL	Urivision
3728	Bilirrubina.	3,0 mg/dL	Uriscan 11	Uriscan PRO / S300
3728	Corpos Cet獼icos.	10 mg/dL	Uriscan 11	Uriscan PRO / S300
3728	Glicose.	500 mg/dL	Uriscan 11	Uriscan PRO / S300
3728	Hemoglobina Hemolisada.	50 Ery/無	Uriscan 11	Uriscan PRO / S300
3728	Leucocitos.	0 leu/無	Uriscan 11	Uriscan PRO / S300
3728	Nitrito.	0,2 mg/dL	Uriscan 11	Uriscan PRO / S300
3728	Prote璯as.	100 mg/dL	Uriscan 11	Uriscan PRO / S300
3728	Urobilinog瘽io.	8 mg/dL	Uriscan 11	Uriscan PRO / S300
3729	Bilirrubina.	1 mg/dL	Uriquest Plus I	Leitura visual
3729	Corpos Cet獼icos.	40 mg/dL	Uriquest Plus I	Leitura visual
3729	Glicose.	250 mg/dL	Uriquest Plus I	Leitura visual
3729	Hemoglobina Hemolisada.	300 Ery/無	Uriquest Plus I	Leitura visual
3729	Leucocitos.	0 leu/無	Uriquest Plus I	Leitura visual
3729	Nitrito.	0,2 mg/dL	Uriquest Plus I	Leitura visual
3729	Prote璯as.	100 mg/dL	Uriquest Plus I	Leitura visual
3729	Urobilinog瘽io.	12 mg/dL	Uriquest Plus I	Leitura visual
3742	Bilirrubina.	0 mg/dL	Uricolor Check	nao utilizado
3742	Corpos Cet獼icos.	150 mg/dL	Uricolor Check	nao utilizado
3742	Glicose.	500 mg/dL	Uricolor Check	nao utilizado
3742	Hemoglobina Hemolisada.	125 Ery/無	Uricolor Check	nao utilizado
3742	Leucocitos.	0 leu/無	Uricolor Check	nao utilizado
3742	Nitrito.	0,2 mg/dL	Uricolor Check	nao utilizado
3742	Prote璯as.	1000 mg/dL	Uricolor Check	nao utilizado
3742	Urobilinog瘽io.	0,2 mg/dL	Uricolor Check	nao utilizado
3749	Bilirrubina.	3,0 mg/dL	Labstrip U11 Plus GL	Labumat 2
3749	Corpos Cet獼icos.	50 mg/dL	Labstrip U11 Plus GL	Labumat 2
3749	Glicose.	1000 mg/dL	Labstrip U11 Plus GL	Labumat 2
3749	Hemoglobina Hemolisada.	300 Ery/無	Labstrip U11 Plus GL	Labumat 2
3749	Leucocitos.	75 leu/無	Labstrip U11 Plus GL	Labumat 2
3749	Nitrito.	0,2 mg/dL	Labstrip U11 Plus GL	Labumat 2
3749	Prote璯as.	100 mg/dL	Labstrip U11 Plus GL	Labumat 2
3749	Urobilinog瘽io.	2 mg/dL	Labstrip U11 Plus GL	Labumat 2
3764	Bilirrubina.	6,0 mg/dL	DekaPHAN Auto	Laura XL
3764	Corpos Cet獼icos.	156 mg/dL	DekaPHAN Auto	Laura XL
3764	Glicose.	300 mg/dL	DekaPHAN Auto	Laura XL
3764	Hemoglobina Hemolisada.	250 Ery/無	DekaPHAN Auto	Laura XL
3764	Leucocitos.	15 leu/無	DekaPHAN Auto	Laura XL
3764	Nitrito.	0,2 mg/dL	DekaPHAN Auto	Laura XL
3764	Prote璯as.	100 mg/dL	DekaPHAN Auto	Laura XL
3764	Urobilinog瘽io.	6 mg/dL	DekaPHAN Auto	Laura XL
3787	Bilirrubina.	3 mg/dL	Uricolor Check	Leitura visual
3787	Corpos Cet獼icos.	80 mg/dL	Uricolor Check	Leitura visual
3787	Glicose.	250 mg/dL	Uricolor Check	Leitura visual
3787	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Leitura visual
3787	Leucocitos.	125 leu/無	Uricolor Check	Leitura visual
3787	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
3787	Prote璯as.	300 mg/dL	Uricolor Check	Leitura visual
3787	Urobilinog瘽io.	2 mg/dL	Uricolor Check	Leitura visual
3825	Bilirrubina.	3,0 mg/dL	Dirui H10	FUS 2000
3825	Corpos Cet獼icos.	40 mg/dL	Dirui H10	FUS 2000
3825	Glicose.	500 mg/dL	Dirui H10	FUS 2000
3825	Hemoglobina Hemolisada.	200 Ery/無	Dirui H10	FUS 2000
3825	Leucocitos.	0 leu/無	Dirui H10	FUS 2000
3825	Nitrito.	0,2 mg/dL	Dirui H10	FUS 2000
3825	Prote璯as.	300 mg/dL	Dirui H10	FUS 2000
3825	Urobilinog瘽io.	1 mg/dL	Dirui H10	FUS 2000
3843	Bilirrubina.	3,0 mg/dL	Uriscan 11	Uriscan PRO / S300
3843	Corpos Cet獼icos.	100 mg/dL	Uriscan 11	Uriscan PRO / S300
3843	Glicose.	500 mg/dL	Uriscan 11	Uriscan PRO / S300
3843	Hemoglobina Hemolisada.	250 Ery/無	Uriscan 11	Uriscan PRO / S300
3843	Leucocitos.	75 leu/無	Uriscan 11	Uriscan PRO / S300
3843	Nitrito.	0,2 mg/dL	Uriscan 11	Uriscan PRO / S300
3843	Prote璯as.	100 mg/dL	Uriscan 11	Uriscan PRO / S300
3843	Urobilinog瘽io.	12 mg/dL	Uriscan 11	Uriscan PRO / S300
3844	Bilirrubina.	3 mg/dL	Urofita 10DL	Leitura visual
3844	Corpos Cet獼icos.	40 mg/dL	Urofita 10DL	Leitura visual
3844	Glicose.	150 mg/dL	Urofita 10DL	Leitura visual
3844	Hemoglobina Hemolisada.	250 Ery/無	Urofita 10DL	Leitura visual
3844	Leucocitos.	0 leu/無	Urofita 10DL	Leitura visual
3844	Nitrito.	0,2 mg/dL	Urofita 10DL	Leitura visual
3844	Prote璯as.	100 mg/dL	Urofita 10DL	Leitura visual
3844	Urobilinog瘽io.	8 mg/dL	Urofita 10DL	Leitura visual
3845	Bilirrubina.	3 mg/dL	Urofita 10DL	Leitura visual
3845	Corpos Cet獼icos.	40 mg/dL	Urofita 10DL	Leitura visual
3845	Glicose.	150 mg/dL	Urofita 10DL	Leitura visual
3845	Hemoglobina Hemolisada.	250 Ery/無	Urofita 10DL	Leitura visual
3845	Leucocitos.	75 leu/無	Urofita 10DL	Leitura visual
3845	Nitrito.	0,2 mg/dL	Urofita 10DL	Leitura visual
3845	Prote璯as.	100 mg/dL	Urofita 10DL	Leitura visual
3845	Urobilinog瘽io.	12 mg/dL	Urofita 10DL	Leitura visual
3847	Bilirrubina.	3 mg/dL	Uricolor Check	Leitura visual
3847	Corpos Cet獼icos.	40 mg/dL	Uricolor Check	Leitura visual
3847	Glicose.	500 mg/dL	Uricolor Check	Leitura visual
3847	Hemoglobina Hemolisada.	250 Ery/無	Uricolor Check	Leitura visual
3847	Leucocitos.	0 leu/無	Uricolor Check	Leitura visual
3847	Nitrito.	0,2 mg/dL	Uricolor Check	Leitura visual
3847	Prote璯as.	300 mg/dL	Uricolor Check	Leitura visual
3847	Urobilinog瘽io.	2 mg/dL	Uricolor Check	Leitura visual
3858	Bilirrubina.	4,0 mg/dL	Lumiratek	Leitura visual
3858	Corpos Cet獼icos.	80 mg/dL	Lumiratek	Leitura visual
3858	Glicose.	500 mg/dL	Lumiratek	Leitura visual
3858	Hemoglobina Hemolisada.	250 Ery/無	Lumiratek	Leitura visual
3858	Leucocitos.	0 leu/無	Lumiratek	Leitura visual
3858	Nitrito.	0,2 mg/dL	Lumiratek	Leitura visual
3858	Prote璯as.	2000 mg/dL	Lumiratek	Leitura visual
3858	Urobilinog瘽io.	12 mg/dL	Lumiratek	Leitura visual
